title;attribute;character;event;unit;rarity;availability;trained_image;untrained_image;release_date;
An Unbreakable Idol Spirit;Mysterious;Momoi Airi;Initial Main Story;MORE MORE JUMP!;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/cc/Airi_1_art.png/657px-Airi_1_art.png;2020/09/30;
MORE MORE JUMP!;Cute;Momoi Airi;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f6/Airi_2_art.png/657px-Airi_2_art.png;2020/09/30;
Support Your Dreams!;Pure;Momoi Airi;Gacha Member Exchange Shop Ticket Exchange Shop;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/6a/Airi_3_trained_art.png/609px-Airi_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9a/Airi_3_art.png/609px-Airi_3_art.png;2020/09/30;
The Beautiful Active Idol;Cute;Hinomori Shizuku;Initial Main Story;MORE MORE JUMP!;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/98/Shizuku_1_art.png/657px-Shizuku_1_art.png;2020/09/30;
MORE MORE JUMP!;Mysterious;Hinomori Shizuku;Gacha Member Exchange Shop;MORE MORE JUMP!;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/a9/Shizuku_2_art.png/657px-Shizuku_2_art.png;2020/09/30;
In a Grand Occasion;Happy;Hinomori Shizuku;Gacha Member Exchange Shop Ticket Exchange Shop;MORE MORE JUMP!;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/5/5e/Shizuku_3_trained_art.png/609px-Shizuku_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/ba/Shizuku_3_art.png/609px-Shizuku_3_art.png;2020/09/30;
A Timid Little Animal;Pure;Azusawa Kohane;Initial Main Story;Vivid BAD SQUAD;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/21/Kohane_1_art.png/657px-Kohane_1_art.png;2020/09/30;
Vivid BAD SQUAD;Mysterious;Azusawa Kohane;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/0/02/Kohane_2_art.png/657px-Kohane_2_art.png;2020/09/30;
First Breath in a SEKAI;Cool;Azusawa Kohane;Gacha Member Exchange Shop Ticket Exchange Shop;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/88/Kohane_3_trained_art.png/609px-Kohane_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/16/Kohane_3_art.png/609px-Kohane_3_art.png;2020/09/30;
Charismatic Girl;Cute;Shiraishi An;Initial Main Story;Vivid BAD SQUAD;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/88/An_1_art.png/657px-An_1_art.png;2020/09/30;
Vivid BAD SQUAD;Cool;Shiraishi An;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/ba/An_2_art.png/657px-An_2_art.png;2020/09/30;
Top-Notch Service!;Pure;Shiraishi An;Gacha Member Exchange Shop Ticket Exchange Shop;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9c/An_3_trained_art.png/609px-An_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/45/An_3_art.png/609px-An_3_art.png;2020/09/30;
Bigger-Than-Big Shot;Happy;Shinonome Akito;Initial Main Story;Vivid BAD SQUAD;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/2a/Akito_1_art.png/657px-Akito_1_art.png;2020/09/30;
Vivid BAD SQUAD;Cute;Shinonome Akito;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/Akito_2_art.png/657px-Akito_2_art.png;2020/09/30;
Pent-Up Frustration;Happy;Shinonome Akito;Gacha Member Exchange Shop Ticket Exchange Shop;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/49/Akito_3_trained_art.png/609px-Akito_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/db/Akito_3_art.png/609px-Akito_3_art.png;2020/09/30;
The Classical Music Prodigy;Cool;Aoyagi Toya;Initial Main Story;Vivid BAD SQUAD;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/7/7b/Toya_1_art.png/657px-Toya_1_art.png;2020/09/30;
Vivid BAD SQUAD;Happy;Aoyagi Toya;Gacha Member Exchange Shop;Vivid BAD SQUAD;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/ed/Toya_2_art.png/657px-Toya_2_art.png;2020/09/30;
A Broken Bond;Cute;Aoyagi Toya;Gacha Member Exchange Shop Ticket Exchange Shop;Vivid BAD SQUAD;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/7/75/Toya_3_trained_art.png/609px-Toya_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/81/Toya_3_art.png/609px-Toya_3_art.png;2020/09/30;
I Shall Be a Star in Due Time!;Happy;Tenma Tsukasa;Initial Main Story;Wonderlands×Showtime;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/7/75/Tsukasa_1_art.png/657px-Tsukasa_1_art.png;2020/09/30;
Wonderlands×Showtime;Cute;Tenma Tsukasa;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/4/45/Tsukasa_2_art.png/657px-Tsukasa_2_art.png;2020/09/30;
Hello From the Mascot Costume!;Mysterious;Tenma Tsukasa;Gacha Member Exchange Shop Ticket Exchange Shop;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/17/Tsukasa_3_trained_art.png/609px-Tsukasa_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/bc/Tsukasa_3_art.png/609px-Tsukasa_3_art.png;2020/09/30;
Hyper ? Positive;Pure;Otori Emu;Initial Main Story;Wonderlands×Showtime;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/d/d6/Emu_1_art.png/657px-Emu_1_art.png;2020/09/30;
Wonderlands×Showtime;Mysterious;Otori Emu;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f3/Emu_2_art.png/657px-Emu_2_art.png;2020/09/30;
Let's Have a Meeting!;Cute;Otori Emu;Gacha Member Exchange Shop Ticket Exchange Shop;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/b/b7/Emu_3_trained_art.png/609px-Emu_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/94/Emu_3_art.png/609px-Emu_3_art.png;2020/09/30;
Foul-Mouthed and Unsociable;Cool;Kusanagi Nene;Initial Main Story;Wonderlands×Showtime;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/96/Nene_1_art.png/657px-Nene_1_art.png;2020/09/30;
Wonderlands×Showtime;Cool;Kusanagi Nene;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/ae/Nene_2_art.png/657px-Nene_2_art.png;2020/09/30;
Operating Behind the Scenes;Pure;Kusanagi Nene;Gacha Member Exchange Shop Ticket Exchange Shop;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a2/Nene_3_trained_art.png/609px-Nene_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/2/2a/Nene_3_art.png/609px-Nene_3_art.png;2020/09/30;
The Laid-Back Genius Director;Mysterious;Kamishiro Rui;Initial Main Story;Wonderlands×Showtime;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/9d/Rui_1_art.png/657px-Rui_1_art.png;2020/09/30;
Wonderlands×Showtime;Pure;Kamishiro Rui;Gacha Member Exchange Shop;Wonderlands×Showtime;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/52/Rui_2_art.png/657px-Rui_2_art.png;2020/09/30;
The Phantom Performer;Happy;Kamishiro Rui;Gacha Member Exchange Shop Ticket Exchange Shop;Wonderlands×Showtime;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/6/67/Rui_3_trained_art.png/609px-Rui_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/16/Rui_3_art.png/609px-Rui_3_art.png;2020/09/30;
The Girl Loved by Music;Mysterious;Yoisaki Kanade;Initial Main Story;25-ji, Nightcord de.;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e9/Kanade_1_art.png/657px-Kanade_1_art.png;2020/09/30;
25-ji, Nightcord de.;Cute;Yoisaki Kanade;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/c/c0/Kanade_2_art.png/657px-Kanade_2_art.png;2020/09/30;
On the Other Side of the Screen...;Happy;Yoisaki Kanade;Gacha Member Exchange Shop Ticket Exchange Shop;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/8e/Kanade_3_trained_art.png/609px-Kanade_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/1/17/Kanade_3_art.png/609px-Kanade_3_art.png;2020/09/30;
"An Honor Student Who's Seen as a ""Good Girl""";Cool;Asahina Mafuyu;Initial Main Story;25-ji, Nightcord de.;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/0/09/Mafuyu_1_art.png/657px-Mafuyu_1_art.png;2020/09/30;
25-ji, Nightcord de.;Happy;Asahina Mafuyu;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/92/Mafuyu_2_art.png/657px-Mafuyu_2_art.png;2020/09/30;
"The ""Good Girl"" I Am";Cute;Asahina Mafuyu;Gacha Member Exchange Shop Ticket Exchange Shop;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a7/Mafuyu_3_trained_art.png/609px-Mafuyu_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a9/Mafuyu_3_art.png/609px-Mafuyu_3_art.png;2020/09/30;
The Artist Addicted to Social Media;Pure;Shinonome Ena;Initial Main Story;25-ji, Nightcord de.;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/1/1e/Ena_1_art.png/657px-Ena_1_art.png;2020/09/30;
25-ji, Nightcord de.;Mysterious;Shinonome Ena;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/62/Ena_2_art.png/657px-Ena_2_art.png;2020/09/30;
The Best Angle;Cool;Shinonome Ena;Gacha Member Exchange Shop Ticket Exchange Shop;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/0/0a/Ena_3_trained_art.png/609px-Ena_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/06/Ena_3_art.png/609px-Ena_3_art.png;2020/09/30;
A Free Spirit in Love With Everything Cute;Cute;Akiyama Mizuki;Initial Main Story;25-ji, Nightcord de.;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/2/23/Mizuki_1_art.png/657px-Mizuki_1_art.png;2020/09/30;
25-ji, Nightcord de.;Cool;Akiyama Mizuki;Gacha Member Exchange Shop;25-ji, Nightcord de.;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/0/04/Mizuki_2_art.png/657px-Mizuki_2_art.png;2020/09/30;
Uncompromising Obsession;Mysterious;Akiyama Mizuki;Gacha Member Exchange Shop Ticket Exchange Shop;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/3/30/Mizuki_3_trained_art.png/609px-Mizuki_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/9b/Mizuki_3_art.png/609px-Mizuki_3_art.png;2020/09/30;
The Songstress Everyone Knows;Cute;Hatsune Miku;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/e/e3/Miku_1_art.png/657px-Miku_1_art.png;2020/09/30;
Classroom SEKAI;Cute;Hatsune Miku;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/9b/Miku_2_art.png/657px-Miku_2_art.png;2020/09/30;
Stage SEKAI;Cool;Hatsune Miku;Initial Main story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/54/Miku_3_art.png/657px-Miku_3_art.png;2020/09/30;
Street SEKAI;Pure;Hatsune Miku;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/9d/Miku_4_art.png/657px-Miku_4_art.png;2020/09/30;
Wonderland SEKAI;Happy;Hatsune Miku;Initial Main story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/84/Miku_5_art.png/657px-Miku_5_art.png;2020/09/30;
Empty SEKAI;Mysterious;Hatsune Miku;Initial Main story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/8f/Miku_6_art.png/657px-Miku_6_art.png;2020/09/30;
Watchful Gaze;Pure;Hatsune Miku;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9c/Miku_7_trained_art.png/609px-Miku_7_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/00/Miku_7_art.png/609px-Miku_7_art.png;2020/09/30;
The Grand Opening;Cute;Hatsune Miku;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/a/a1/Miku_8_trained_art.png/609px-Miku_8_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/95/Miku_8_art.png/609px-Miku_8_art.png;2020/09/30;
Bursting With Energy!;Mysterious;Kagamine Rin;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/fe/Rin_1_art.png/657px-Rin_1_art.png;2020/09/30;
Stage SEKAI;Happy;Kagamine Rin;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/7/74/Rin_2_art.png/657px-Rin_2_art.png;2020/09/30;
Sparkling Stage;Mysterious;Kagamine Rin;Gacha Ticket Exchange Shop Member Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/8/89/Rin_3_trained_art.png/609px-Rin_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/b1/Rin_3_art.png/609px-Rin_3_art.png;2020/09/30;
Heated Conflict;Pure;Kagamine Rin;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/c5/Rin_4_trained_art.png/609px-Rin_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/f/f1/Rin_4_art.png/609px-Rin_4_art.png;2020/09/30;
Bursting With Power!;Happy;Kagamine Len;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/64/Len_1_art.png/657px-Len_1_art.png;2020/09/30;
Street SEKAI;Mysterious;Kagamine Len;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/f/f7/Len_2_art.png/657px-Len_2_art.png;2020/09/30;
"A Difficult ""Compromise""";Happy;Kagamine Len;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/e/ed/Len_3_trained_art.png/609px-Len_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/55/Len_3_art.png/609px-Len_3_art.png;2020/09/30;
A New Troupe Member Appears!;Cool;Kagamine Len;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/96/Len_4_trained_art.png/609px-Len_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/3/3f/Len_4_art.png/609px-Len_4_art.png;2020/09/30;
Cool Beauty;Pure;Megurine Luka;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/a/a3/Luka_1_art.png/657px-Luka_1_art.png;2020/09/30;
Classroom SEKAI;Happy;Megurine Luka;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/8/83/Luka_2_art.png/657px-Luka_2_art.png;2020/09/30;
A Guiding Hand;Pure;Megurine Luka;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/9f/Luka_3_trained_art.png/609px-Luka_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/8d/Luka_3_art.png/609px-Luka_3_art.png;2020/09/30;
Dashing Red Melody;Cool;MEIKO;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/b/b9/MEIKO_1_art.png/657px-MEIKO_1_art.png;2020/09/30;
Street SEKAI;Pure;MEIKO;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/5/5b/MEIKO_2_art.png/657px-MEIKO_2_art.png;2020/09/30;
A Cup of Commitment;Mysterious;MEIKO;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/2d/MEIKO_3_trained_art.png/609px-MEIKO_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/d/d8/MEIKO_3_art.png/609px-MEIKO_3_art.png;2020/09/30;
Cool Blue Melody;Cute;KAITO;Initial Main Story;VIRTUAL SINGER;1.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/3/3b/KAITO_1_art.png/657px-KAITO_1_art.png;2020/09/30;
Wonderland SEKAI;Cute;KAITO;Initial Main Story Gacha Member Exchange Shop;VIRTUAL SINGER;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/9/91/KAITO_2_art.png/657px-KAITO_2_art.png;2020/09/30;
Scouting for Troupe Members!;Cool;KAITO;Gacha Member Exchange Shop Ticket Exchange Shop;VIRTUAL SINGER;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/2/2e/KAITO_3_trained_art.png/609px-KAITO_3_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/a9/KAITO_3_art.png/609px-KAITO_3_art.png;2020/09/30;
Rainy Distance;Mysterious;Tenma Saki;Stella After the Rain;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/9/99/Saki_4_trained_art.png/609px-Saki_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/7/74/Saki_4_art.png/609px-Saki_4_art.png;2020/10/09;
Wiping Off the Twilight Rain;Mysterious;Megurine Luka;Stella After the Rain;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/4f/Luka_4_trained_art.png/609px-Luka_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/4/4a/Luka_4_art.png/609px-Luka_4_art.png;2020/10/09;
The Heat I Wanted to Recognize;Mysterious;Hinomori Shiho;Stella After the Rain;Leo/need;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/f1/Shiho_4_trained_art.png/609px-Shiho_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/9/99/Shiho_4_art.png/609px-Shiho_4_art.png;2020/10/09;
Rest Well;Pure;Mochizuki Honami;Stella After the Rain;Leo/need;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/c/cc/Honami_4_trained_art.png/609px-Honami_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/5/51/Honami_4_art.png/609px-Honami_4_art.png;2020/10/09;
Starry Steps;Pure;Hoshino Ichika;Stella After the Rain;Leo/need;2.0;Permanent;;//static.wikitide.net/projectsekaiwiki/thumb/6/6d/Ichika_5_art.png/657px-Ichika_5_art.png;2020/10/09;
Inconvenient Masquerade;Cool;Asahina Mafuyu;Imprisoned Marionette;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/1/1e/Mafuyu_4_trained_art.png/609px-Mafuyu_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/b/bf/Mafuyu_4_art.png/609px-Mafuyu_4_art.png;2020/10/20;
As If It Was Alive;Cool;Yoisaki Kanade;Imprisoned Marionette;25-ji, Nightcord de.;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/f/f5/Kanade_4_trained_art.png/609px-Kanade_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/a/af/Kanade_4_art.png/609px-Kanade_4_art.png;2020/10/20;
Severed Strings;Cool;Hatsune Miku;Imprisoned Marionette;VIRTUAL SINGER;4.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/40/Miku_9_trained_art.png/609px-Miku_9_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/0/08/Miku_9_art.png/609px-Miku_9_art.png;2020/10/20;
A Moment of Fun;Cute;Akiyama Mizuki;Imprisoned Marionette;25-ji, Nightcord de.;3.0;Permanent;//static.wikitide.net/projectsekaiwiki/thumb/4/40/Mizuki_4_trained_art.png/609px-Mizuki_4_trained_art.png;//static.wikitide.net/projectsekaiwiki/thumb/8/84/Mizuki_4_art.png/609px-Mizuki_4_art.png;2020/10/20;
